JUDET  ;Total someri, din care: ;fara studii;invatamant primar ;invatamant gimnazial ;invatamant liceal;invatamant posticeal;invatamant profesional/arte si meserii;invatamant universitar
ALBA ;5613;379;1051;1725;1172;55;938;293
ARAD;3467;839;466;948;588;42;311;273
ARGES;8858;418;2451;2890;1251;91;1434;323
BACAU;4140;396;576;1477;639;55;767;230
BIHOR;5773;727;1657;1376;872;86;641;414
BISTRITA;4047;338;799;1189;887;48;581;205
BOTOSANI;4971;147;923;2228;657;52;829;135
BRAILA;5420;694;1271;2139;461;66;643;146
BRASOV;7054;799;2165;2486;696;51;533;324
BUZAU;7166;2090;246;2493;996;53;1154;134
CALARASI;4744;553;1638;1603;488;16;392;54
CARAS;3361;337;554;994;781;54;447;194
CLUJ;5206;873;1010;1300;779;107;706;431
CONSTANTA;6469;743;1279;1773;1336;79;890;369
COVASNA;4068;590;1801;820;425;33;329;70
DAMBOVITA;6363;528;1703;2200;948;69;743;172
DOLJ;20824;1564;5935;7733;2861;100;2244;387
GALATI;10319;1179;2376;4145;1031;70;1233;285
GIURGIU;1949;208;383;801;331;11;151;64
GORJ;4906;318;336;1443;1350;99;1075;285
HARGHITA;6811;1194;1858;1593;1084;79;800;203
HUNEDOARA;6936;567;1045;1840;1752;130;997;605
IALOMITA;4815;528;1148;1950;420;29;680;60
IASI;10528;563;2248;3580;903;87;2749;398
ILFOV;802;73;148;198;185;4;85;109
MARAMURES;4460;329;835;1086;1028;92;776;314
MEHEDINTI;7406;719;1350;3168;1178;80;770;141
MUN. BUC.;8403;7;35;1233;3191;206;1490;2241
MURES;6461;733;2380;1605;699;78;733;233
NEAMT;8926;639;1649;3285;992;81;2066;214
OLT;7320;667;872;2991;1298;84;1232;176
PRAHOVA;6644;437;1085;1995;1223;100;1426;378
SALAJ;5657;787;1821;1631;609;44;599;166
SATU M.;6593;1131;2590;1937;402;22;415;96
SIBIU;5922;596;2365;1421;550;36;662;292
SUCEAVA;13277;969;3281;4913;1629;122;1978;385
TELEORMAN;10617;1114;1285;5723;1235;62;1072;126
TIMIS;3557;581;392;833;749;46;463;493
TULCEA;2780;0;389;1288;575;0;454;74
VALCEA;3924;84;385;959;1206;86;911;293
VASLUI;10182;459;2153;4811;1056;49;1572;82
VRANCEA;2426;114;572;871;410;60;298;101
Total general;269165;26011;58506;90674;40923;2814;38269;11968
